base_split,ticker,horizon,n,qlike,mse,mae,mean_residual
validation,AMD,22,504,0.4009919329244664,0.1493432143541248,0.3065157267883404,0.058583238114649404
validation,AVGO,1,504,0.28005890046081167,0.11712757570492227,0.2742826361462325,0.009282804978626186
validation,AVGO,5,504,0.3303907198402102,0.13575062771790664,0.2962373239723855,0.013208611736028846
validation,AVGO,10,504,0.36811342275986386,0.14639228480192618,0.3054610929256729,0.01547713176010104
validation,AVGO,22,504,0.3809713202171604,0.1534963496658494,0.31245767435308935,0.005263659185374173
validation,INTC,1,504,0.2800245569816201,0.11532195341501589,0.2709420394600882,0.013580277241652451
validation,INTC,5,504,0.330521184656163,0.1359779120379617,0.29855295571601653,0.022324492407541776
validation,INTC,10,504,0.3391865786328687,0.13969184634708656,0.3004207193223205,0.030112297105613573
validation,INTC,22,504,0.35805260018627005,0.14341367080395567,0.3019910646897063,0.03216634279932042
validation,KLAC,1,504,0.3168479921448439,0.12133569827108778,0.2749471110843546,0.017993820931208254
validation,KLAC,5,504,0.3586664309183919,0.13394078511790114,0.2921371647675358,0.03151912000110726
validation,KLAC,10,504,0.4048986804706624,0.14614994143212118,0.30488010990393366,0.03820427456335179
validation,KLAC,22,504,0.4171598945713464,0.14899712692934922,0.30369701175650066,0.0467509732431989
validation,LRCX,1,504,0.3007235822622331,0.12145537019076086,0.27353848235586736,0.018973956505530874
validation,LRCX,5,504,0.34059943027127426,0.1425916026546378,0.29894332653640493,0.03266218668879577
validation,LRCX,10,504,0.4006874640461509,0.15314824289788476,0.3034863639726428,0.042315460696159886
validation,LRCX,22,504,0.38211026061848014,0.14985162798782847,0.2999123010364062,0.04174128302734873
validation,MU,1,504,0.27642304688672265,0.11669590042119904,0.2752173575442707,0.010220478916042225
validation,MU,5,504,0.3045580887308736,0.12750918677754616,0.2887130498997234,0.016071237257384963
validation,MU,10,504,0.34012996407002066,0.13455506529110242,0.2955281236189258,0.02294162864351119
validation,MU,22,504,0.32567334634386313,0.13368219518750188,0.2951608288423988,0.015456256116091607
validation,NVDA,1,504,0.373530024245415,0.1286321712812338,0.27957001970132567,0.03521169651346427
validation,NVDA,5,504,0.4469074320571477,0.14843893649863013,0.3020718501772252,0.07081811405210944
validation,NVDA,10,504,0.5049982396638102,0.16181984739758623,0.31115109778034566,0.10237979564784391
validation,NVDA,22,504,0.5947405809564961,0.1853124536807316,0.3379113388390573,0.1453753261248862
validation,QCOM,1,504,0.3132913098432034,0.12282928705843651,0.2742661259322907,0.013430347151053096
validation,QCOM,5,504,0.3842033858451312,0.14297958093989702,0.29425441429354365,0.020570098765942384
validation,QCOM,10,504,0.4201279558942139,0.1519974324576558,0.3069698042249828,0.024579926470658132
validation,QCOM,22,504,0.4563015412751063,0.16813964456488448,0.32306099080990897,0.02352987289573853
validation,TXN,1,504,0.2713331677031089,0.11261481011745855,0.26660695837033854,0.008658062077524339
validation,TXN,5,504,0.3033984852625931,0.127597064755078,0.2887882805062556,0.014981520618877746
validation,TXN,10,504,0.34095569500542566,0.13702262142406885,0.2937248656891171,0.02550599843496657
validation,TXN,22,504,0.36885811738583874,0.1438309863991565,0.30003774940440153,0.02552616470878135
