model,ticker,horizon,n,qlike,mse,rmse,mae,pearson,spearman,qlike_spike_days,qlike_normal_days,pred_exp_clip_count,training_time_sec,inference_time_sec
B6_Linear,AMAT,5,247,0.24675122448638934,0.1243515126433275,0.35263509842800317,0.28230297126420917,0.15152177859578753,0.17452574007823074,1.7244461133239075,0.21622033835338283,0,0.0020169999916106462,0.07632299169199541
B6_Linear,AMAT,10,242,0.24471525854454754,0.12864258935009312,0.35866779803892784,0.28766528569532684,0.11340210565253861,0.1031436002062412,1.6332079490446691,0.21542216380825802,0,0.003569299995433539,0.1260820021852851
B6_Linear,AMAT,22,230,0.24029742019232736,0.13858502252741672,0.3722700935173503,0.30165406727601635,0.05088687633226963,0.06916639831238666,1.703957365540368,0.2209538966855251,0,0.0018430000054650009,0.06292799720540643
B6_Linear,AMD,1,251,0.2604353739446114,0.10647644155180841,0.32630728087465105,0.2627851469869798,0.302626447860335,0.2836476100987802,1.1570637715936836,0.13409228154860584,0,0.0021823999704793096,0.07000390707980841
B6_Linear,AMD,5,247,0.31420588585216547,0.12472634547392014,0.3531661726070606,0.2781670951325478,0.02678746042414676,0.04147972599559628,1.500793320666072,0.14390861511498457,0,0.0024084000033326447,0.07916349894367158
B6_Linear,AMD,10,242,0.30423592359021984,0.12799433495080803,0.35776295916543405,0.28581215958425443,-0.030184357501072547,-0.02516133320523143,1.3465806849677715,0.1567343064141513,0,0.0034491000114940107,0.08046500699128956
B6_Linear,AMD,22,230,0.2645982027141407,0.12357450192754299,0.3515316513879554,0.2848372879811393,-0.025007437236305788,-0.04098992450413366,1.0440538956725982,0.16092675586744934,0,0.002183999982662499,0.06327299983240664
B6_Linear,AVGO,1,251,0.32744490246336927,0.12806317999004155,0.3578591622273231,0.28675579334081325,0.40775218345597597,0.3372580222585452,4.5763768671882215,0.22338942577623003,0,0.002229899982921779,0.0836081083980389
B6_Linear,AVGO,5,247,0.5393637322753644,0.15512734141625692,0.3938620842582552,0.31112368003787544,0.1656376885872617,0.15973413413242357,12.412057382310655,0.24377799824958954,0,0.002627600042615086,0.08933990454534069
B6_Linear,AVGO,10,242,0.5834361386616391,0.16456663867744326,0.40566813860277867,0.31346894195944053,0.03649643634542442,0.050031392395703145,13.34189008017015,0.2590686655724396,0,0.002297299972269684,0.09389601065777242
B6_Linear,AVGO,22,230,0.521576573424289,0.16011875217530466,0.40014841268622403,0.30987017191916455,0.018019858278215006,0.0525202054847897,10.446297768016994,0.2557358271405558,0,0.001881800009869039,0.06909200397785753
B6_Linear,INTC,1,251,0.29937213131716894,0.1280459853899199,0.3578351371650357,0.2824870444616766,0.2867915022824832,0.2789794177228046,1.5523771695788746,0.21973198058019616,0,0.0022554000024683774,0.08087218756554648
B6_Linear,INTC,5,247,0.4181838945752402,0.15517056036059293,0.39391694601856486,0.31178747849559024,-0.02373481448655227,-0.010713551944435469,3.0220307785299516,0.2498317253540303,0,0.0033737000194378197,0.08966099261306226
B6_Linear,INTC,10,242,0.451081998612384,0.15687315735809265,0.39607216180652316,0.3087309159431403,-0.04582566930689736,-0.04367586113178919,3.522014422739892,0.2481569485599056,0,0.0026995999505743384,0.08731360279489309
B6_Linear,INTC,22,230,0.4121432376054847,0.14339658134110975,0.3786774106559695,0.293303615589441,0.04829042999756798,0.03738107132349807,3.26012971365235,0.24152653627548823,0,0.0024074000539258122,0.09361000324133784
B6_Linear,KLAC,1,251,0.2797838677104399,0.13030319082991787,0.3609753327166801,0.28506371646821016,0.2635350039147596,0.25566463687795415,2.0867569572862337,0.24305677239385873,0,0.0026715000276453793,0.08589219657005742
B6_Linear,KLAC,5,247,0.27578455301294263,0.13765490090689478,0.37101873390287826,0.29245851953902985,0.16828074053611441,0.18486620701980688,2.0565850451502015,0.23899115441506538,0,0.002462300006300211,0.08758620556909591
B6_Linear,KLAC,10,242,0.2704324537781623,0.14055501048400307,0.3749066690311111,0.29589713720339966,0.14395642312781354,0.1511491987638263,1.9572597034356818,0.23484538100057753,0,0.00270990002900362,0.07293879194185138
B6_Linear,KLAC,22,230,0.26478315221251025,0.14792340726882858,0.3846081216885943,0.30613424696833197,0.080979243349798,0.07438735057029716,1.8972500100411132,0.2285061109274302,0,0.0024172000121325254,0.08153500501066446
B6_Linear,LRCX,1,251,0.233137296949732,0.111026045837957,0.3332057109924093,0.2637759039664158,0.3042395739380128,0.31122155207671415,1.6818102846843108,0.20369272402829747,0,0.0023859000066295266,0.0694265880738385
B6_Linear,LRCX,5,247,0.23981869351468402,0.11749184341958953,0.34277083221824683,0.2784370003644816,0.22458944855083554,0.2567875987663181,1.6391784893841312,0.21090630103804256,0,0.0034727000165730715,0.14570530242053792
B6_Linear,LRCX,10,242,0.2207479242465452,0.11822581321674003,0.3438398074928789,0.2803782416359975,0.22375113549260126,0.24865402193142708,1.434080700945933,0.20035577673899246,0,0.0028788999770767987,0.08799119386821985
B6_Linear,LRCX,22,230,0.2187271492328738,0.13159225809015768,0.36275647215474693,0.2977917866225844,0.18291295666390728,0.18775258396981775,0.8957233202972104,0.20978006327167112,0,0.0024046999751590192,0.08788299979642034
B6_Linear,MU,1,251,0.24427934086217779,0.11974553980004086,0.3460426849393596,0.2792114068946201,0.3306926582894889,0.3219349074969913,1.4956054559677145,0.2030834193772218,0,0.0017865000409074128,0.06470781058305874
B6_Linear,MU,5,247,0.24763240010505227,0.13075781168906075,0.36160449622351315,0.2888631914070698,0.21837997580062965,0.21724775551771291,1.6253020333342727,0.20151793539445076,0,0.002717500028666109,0.06975279917242005
B6_Linear,MU,10,242,0.26662952672670054,0.14450472066464878,0.3801377653754607,0.30741578481044557,0.06537669873654378,0.041800784661773546,1.7230241963559323,0.21683825597014564,0,0.0038053999887779355,0.12671119289007038
B6_Linear,MU,22,230,0.2535069613394333,0.15244464018541667,0.3904415963821179,0.3126467808826216,0.11662875642330459,0.09289270935730876,1.2613817584543068,0.21718714883078924,0,0.002218899957370013,0.09889998997095972
B6_Linear,NVDA,1,251,0.2384943213576084,0.10231118600214287,0.31986119802524166,0.25571522874301683,0.4506629442873475,0.44237222184659375,1.0707994639024685,0.14231683821909125,0,0.002272400015499443,0.09048550232546404
B6_Linear,NVDA,5,247,0.25889429037120887,0.11942231420649262,0.34557533796046935,0.2785242270641871,0.3025976195036278,0.29680763466534843,1.1047121205239856,0.1593863103532351,0,0.002389000030234456,0.12468560051638633
B6_Linear,NVDA,10,242,0.2778953812763067,0.13332114553705363,0.3651316824613466,0.29429763381047275,0.16933439381512344,0.16799863846356727,1.1275465007325725,0.18435580849213062,0,0.0031334999948740005,0.16763339459430426
B6_Linear,NVDA,22,230,0.2587321813522725,0.13515494055296387,0.36763424834060804,0.29805499747422387,0.07577675203294036,0.06687276943248284,1.1729370040969276,0.18111101715697156,0,0.0020889999577775598,0.07357699796557426
B6_Linear,QCOM,1,251,0.22933267798728918,0.11131865392326984,0.33364450231237114,0.26859077128349423,0.380307684100883,0.36398999732740894,6.70504177534724,0.2034298415978494,0,0.002695900038816035,0.08310610457556322
B6_Linear,QCOM,5,247,0.23812651491110365,0.12448562736526653,0.3528252079504333,0.2804948693591767,0.2662623564304437,0.24730717836281688,5.722274123588869,0.2158332319489989,0,0.0024630999541841447,0.08558550471207127
B6_Linear,QCOM,10,242,0.23343097962442846,0.13051780065321233,0.36127247425345366,0.2832341335879983,0.22936169035334372,0.22054607950711486,5.6581315217087695,0.21092184874441047,0,0.003840500023216009,0.134479395695962
B6_Linear,QCOM,22,230,0.22515982725412162,0.14216986358771366,0.3770541918447714,0.2952452318190668,0.08545316810071246,0.07203947546876587,,0.22515982725412162,0,0.0023584000300616026,0.07573900104034692
B6_Linear,TXN,1,251,0.2260208649279885,0.1084179518206435,0.3292688139205465,0.26459524639544346,0.19580123875495972,0.1385359982593528,4.275140647590775,0.20982438579733736,0,0.0024970000376924872,0.07389440748374909
B6_Linear,TXN,5,247,0.22472913114190948,0.11119260427633386,0.33345555067554933,0.26236702572196197,0.1387449835917996,0.14396462341924982,4.668983884693613,0.2066630549079595,0,0.0021953999530524015,0.07617480494081974
B6_Linear,TXN,10,242,0.2219763212214817,0.11179878901971246,0.3343632590756832,0.2643410719565353,0.09372895528418819,0.08520569322169322,7.20932789023437,0.1929831611840838,0,0.0029888999997638166,0.09554159501567483
B6_Linear,TXN,22,230,0.1867415511481098,0.10933455254006667,0.3306577574170409,0.2607404584800744,0.10714555798944331,0.1456644200514622,,0.1867415511481098,0,0.002040600054897368,0.0716450100298971
B6_MLP,ADI,1,251,0.9260472301555102,0.45728035002513484,0.6762250734963433,0.5530381588797119,-0.051771533646581686,-0.033789471467558875,7.775594571338811,0.8710307856480137,0,0.1387405000277795,0.1605897955596447
B6_MLP,ADI,5,247,0.7944170934025497,0.42022340049615825,0.6482464041521235,0.5339819085659184,0.03589528516263093,0.06141926790935254,8.284277377063104,0.7332753768012391,0,0.16928889998234808,0.1773953993106261
B6_MLP,ADI,10,242,1.0763766427472006,0.4987584191825627,0.7062283052827625,0.5729176584185157,-0.15901378412865355,-0.12806234618697074,34.68779414096642,0.936910180098988,0,0.21065419999649748,0.18493639957159758
B6_MLP,ADI,22,230,1.0344629443091171,0.5165518566471562,0.7187154211836255,0.5807739283663998,-0.1833792683523151,-0.1748834076099016,8.227600816469309,1.0030518618979374,0,0.15864219999639317,0.13896598713472486
B6_MLP,AMAT,1,251,0.4663119306343255,0.26609568722148974,0.5158446347704798,0.4075666769285186,0.02281777197182401,0.050559372990845265,3.5871467443379395,0.40288032872978047,0,0.18357380002271384,0.27359000861179084
B6_MLP,AMAT,5,247,0.3633956516134626,0.23932385072367912,0.48920736985830365,0.3941428956607836,0.17373244486471248,0.14808488340813813,0.14142474891328788,0.367981827289086,0,0.16253930004313588,0.20538049674360082
B6_MLP,AMAT,10,242,0.4044185535894087,0.26302996622060343,0.5128644715912806,0.4085762565856408,0.11214536285244261,0.13690556075136154,0.9023092840115364,0.3939145297408406,0,0.20460479997564107,0.20465939480345696
B6_MLP,AMAT,22,230,0.479918595118937,0.3161483008684134,0.5622706651323839,0.46276227864111713,-0.08852920746925538,-0.08799180980700039,0.23095718644539223,0.48320883400008524,0,0.17632919998141006,0.14996000390965492
B6_MLP,AMD,1,251,0.5838846822206094,0.3759819051950214,0.613173633806136,0.5044701414637378,0.19462058870973373,0.14837589364146891,0.7644729732045911,0.5584381503092302,0,0.21633949998067692,0.20107609702972695
B6_MLP,AMD,5,247,0.56017191804857,0.39045853773272304,0.6248668159957953,0.5168407451032322,0.11214209529035314,0.05868822198127126,0.7483979645228398,0.5331579947119852,0,0.158074899984058,0.17213430238189176
B6_MLP,AMD,10,242,0.6626857768885135,0.4233169110172991,0.6506280896313186,0.5433161233256038,-0.03208777276703071,-0.024114778896385487,1.3532120515406418,0.5649697946264199,0,0.22187249996932223,0.19735099549870938
B6_MLP,AMD,22,230,0.6351347618655508,0.4475641756080485,0.6690023733949294,0.5667205728919733,-0.033562014659159874,-0.010633738881394558,0.7373728221367083,0.6215365962137221,0,0.180159299983643,0.16060900466982275
B6_MLP,AVGO,1,251,2.783875089789133,0.5380190798945316,0.733497839052394,0.5743388303846751,-0.007882595497090875,0.00022083133892691084,15.629671743434066,2.4692841513325225,0,0.21825999999418855,0.20039840647950768
B6_MLP,AVGO,5,247,2.4061691738330944,0.5034345521205595,0.7095312199759497,0.5596771379562642,0.08776939149749918,0.06990944028498704,2.111477827934588,2.4135058878388667,0,0.16358360002050176,0.17250480520306155
B6_MLP,AVGO,10,242,2.025069407938537,0.5067750410246732,0.7118813391462605,0.5672342833804005,0.1060028919906582,0.0666234271521681,3.2811196720572346,1.9931359266473834,0,0.17814680002629757,0.15923600108362734
B6_MLP,AVGO,22,230,1.981443326291549,0.5015247459258556,0.708184118662552,0.5746873693153659,0.14445463213255139,0.11307575583501756,3.009765072977532,1.9538989937910316,0,0.182747200015001,0.15278899867553264
B6_MLP,INTC,1,251,0.8951960312359912,0.3720046215151902,0.6099218159036371,0.489011236148363,0.040104459641111444,0.0556752990093187,2.747628482158255,0.7774566805417796,0,0.2095147999934852,0.2401568024070002
B6_MLP,INTC,5,247,0.898380504829707,0.35581904407178555,0.5965056949198269,0.4984076307454566,0.025422343980125953,0.0059761289305397085,2.7166211886191136,0.7808218399295299,0,0.16626989998621866,0.1681082004797645
B6_MLP,INTC,10,242,0.8434723726079232,0.346200569352546,0.5883881111583968,0.48129665685299433,0.03445685103168652,0.012285582317314086,3.9833727234719585,0.6359899705684495,0,0.1841184999793768,0.19272880256175995
B6_MLP,INTC,22,230,0.7064267005795,0.3101920409477768,0.5569488674445588,0.44083744719134904,0.07199249857111799,0.07587073815807414,3.5678037759015764,0.5350077974496061,0,0.17757509998045862,0.1408750016707927
B6_MLP,KLAC,1,251,0.5428827569869099,0.2877768005718641,0.5364483205042813,0.43264440257220554,0.24450085363558932,0.22456384387712391,1.2503537244266107,0.5285032657787858,0,0.19278919999487698,0.6235843999893405
B6_MLP,KLAC,5,247,0.566501256169866,0.29922415357095977,0.5470138513520107,0.4319932387785221,0.1569070062283856,0.15231901992938268,1.7307451589280727,0.5424466300798203,0,0.16832279996015131,0.1567215000395663
B6_MLP,KLAC,10,242,0.6015297869032399,0.31468996133828625,0.5609723356265318,0.4526197187407265,0.1367853888757972,0.11997144837291132,0.8342525821355661,0.5966200232907434,0,0.22672940004849806,0.2370390018913895
B6_MLP,KLAC,22,230,0.6528086159056133,0.3441187207932789,0.5866163318501104,0.46789037205760114,0.08833934514683989,0.07081351085998476,5.1302437827803375,0.5533100566417307,0,0.1596313000191003,0.1228659984190017
B6_MLP,LRCX,1,251,0.768860248718125,0.3390404704260827,0.5822718183340859,0.4762411860356414,0.17866804675836478,0.18965541773861067,1.8500056343251212,0.7468857490106655,0,0.23046599997906014,0.23533760954160243
B6_MLP,LRCX,5,247,1.0582812037412725,0.38181772762640553,0.6179140131332235,0.5082198338458985,0.016613523685456676,0.07963194786216865,17.701616205345722,0.714410645856883,0,0.16199980000965297,0.15269539813743904
B6_MLP,LRCX,10,242,0.7172155363766581,0.34936935152349907,0.5910747427555157,0.4712231149126899,0.13605039613315503,0.17184955189126253,1.7130075147541992,0.7004795367400608,0,0.25138510001124814,0.19439860119018704
B6_MLP,LRCX,22,230,0.7378386395812813,0.3946686136814281,0.6282265623813021,0.5166930645341548,0.06258217086152834,0.11225170641374918,0.4767341317072413,0.7412893599496606,0,0.16078829998150468,0.16392098972573876
B6_MLP,MU,1,251,1.228438219427823,0.41333521938494383,0.6429115175395008,0.508204747820188,0.29100775642196575,0.30736079799839566,3.9040533251377116,1.1403521254126827,0,0.21245559997623786,0.25586939055938274
B6_MLP,MU,5,247,1.004777737168908,0.4227364100414295,0.6501818284460351,0.5122173103756138,0.2714902381029216,0.28013109339026054,1.3178352018291564,0.9942988262179375,0,0.16831430001184344,0.14857049548299983
B6_MLP,MU,10,242,1.0374059154344824,0.4393607714273163,0.6628429462755987,0.5323130853984781,0.21316841298027794,0.21414948199402692,1.31205699080603,1.0280161350798995,0,0.39008350000949576,0.23539340344723314
B6_MLP,MU,22,230,1.1174172252635415,0.48441530452641507,0.6959995003779924,0.5649623765859444,0.14191377133119748,0.1428973696009913,1.392793636534126,1.1074937509835208,0,0.16215659998124465,0.12962800974491984
B6_MLP,NVDA,1,251,0.499687065449225,0.3600290181118526,0.6000241812725989,0.48912335647848565,0.25682874518695753,0.2494612493176173,0.6409140790516609,0.48336749943294344,0,0.24359530000947416,0.17795899632619694
B6_MLP,NVDA,5,247,0.5111043464330619,0.40153983392300097,0.633671708318275,0.5118121573591379,0.13215857872307035,0.12954729698538264,0.43657390107884453,0.5198726341217935,0,0.1603629000019282,0.15560999157605693
B6_MLP,NVDA,10,242,0.5804173956068661,0.45183269237509827,0.6721850135008205,0.5526085603897108,-0.017200441766896966,-0.01671184659683849,0.7448511881886924,0.5623145927538211,0,0.30708830000367016,0.25240599212702364
B6_MLP,NVDA,22,230,0.5513612370469433,0.44337038257469524,0.6658606329966469,0.5542384502943465,0.10036269355804871,0.09544622695355515,0.36416235607613195,0.5672554816576725,0,0.16021739999996498,0.17590400064364076
B6_MLP,QCOM,1,251,0.6065745192947508,0.41692605138607935,0.6456981116482217,0.5241827842894536,0.32240473767591904,0.2910515309174757,3.1376983807961896,0.596450023848745,0,0.20867949997773394,0.17858650110429153
B6_MLP,QCOM,5,247,0.6296474933914873,0.46668155129429595,0.6831409454089954,0.5554409711202851,0.1834387880219317,0.10907420768226513,5.457612966998591,0.6100216174825154,0,0.1787627000012435,0.1714180113049224
B6_MLP,QCOM,10,242,0.5910307718550739,0.4783290801298613,0.6916133892066154,0.5568986484649064,0.16732495145690607,0.11181831614000066,3.3755851329484434,0.5794766043816576,0,0.23149080004077405,0.2244550046743825
B6_MLP,QCOM,22,230,0.659887419673794,0.5862826687126479,0.7656909746840744,0.6234955438661252,-0.050345191888116196,-0.07464378725435436,,0.659887419673794,0,0.1689261000137776,0.15196099237073213
B6_MLP,TXN,1,251,0.5390651575514028,0.4034958938799624,0.6352132664546313,0.5305879980828673,0.03836210597220075,0.06992537077003874,1.4001930635914146,0.5356206459272428,0,0.1768750999472104,0.17180950794136152
