model,horizon,n,qlike,mse,rmse,mae,pearson,spearman,qlike_spike_days,qlike_normal_days,pred_exp_clip_count,training_time_sec,inference_time_sec
B5_GARCH_Family,22,2530,0.5268129367722042,0.4190315964317946,0.6473264990959312,0.5605334645070504,0.3730158185209916,0.3770926706997301,0.49233208809859585,0.5279970705778393,0,0.028784600001844494,3.377711001667194
B6_Linear,1,2761,0.26086136802233034,0.11749462938000463,0.34277489607613426,0.2737281000752459,0.5066604255480711,0.4973574054946927,1.6634270429469764,0.20541355331333644,0,0.0023280727380717344,0.8677070179837756
B6_Linear,5,2717,0.29472484971056084,0.12882323178389127,0.35891953385667275,0.2848955125252676,0.4376826477812993,0.4368022178136214,2.4237392004302767,0.2091404290269582,0,0.002587663639463823,0.9923472081427462
B6_Linear,10,2662,0.3023134531871914,0.13499046523833771,0.3674104860212045,0.29090917644571,0.40614728562124836,0.40721803566930637,2.5733669335510507,0.21366967955862542,0,0.0030845545380460944,1.2138961885357276
B6_Linear,22,2530,0.28134405891806363,0.13799125173294796,0.37147173746188006,0.295033747623175,0.40278456050740374,0.40012224898595744,2.2568960587342524,0.21350008181889776,0,0.002186009094161405,0.8475960145005956
B6_MLP,1,2761,0.8946202664967097,0.3845440997829229,0.6201161986135525,0.49903722900762254,0.260428834292641,0.2722415611203934,2.4772754630598,0.8320529488614972,0,0.2028444818094034,2.718957515549846
B6_MLP,5,2717,0.8487724052806025,0.38974909209275543,0.6242988804192712,0.5050984954299939,0.2439670538548141,0.2431975449760037,2.0830988583770718,0.7991536160098792,0,0.16792941817865623,1.849461892968975
B6_MLP,10,2662,0.8270238954453708,0.4081307036399551,0.6388510809570217,0.514673856096057,0.20904902725361935,0.21361006026570062,2.0348070342685607,0.7798816964280723,0,0.23810310909969054,2.283173202769831
B6_MLP,22,2530,0.8273674460992952,0.4356054831355529,0.6600041538774987,0.5364892839937829,0.17682114909505312,0.16942470326848313,1.643431796532727,0.7993423416690384,0,0.16821607272140682,1.6677529941080138
B7_DLinear,1,2761,0.28966937583840335,0.15710277585744906,0.3963619253377512,0.3194738579221824,0.42476061534439424,0.4154038725312412,1.472933464794391,0.24289123979157404,0,0.02705126362641088,0.14522859547287226
B7_DLinear,5,2717,0.31858726526568265,0.17884543370102138,0.42290121033288774,0.3384650843285076,0.3545673105236107,0.34564473871241974,1.6594233433019032,0.26468688693727405,0,0.031114590904590757,0.18065580975962803
B7_DLinear,10,2662,0.33137782792544657,0.18754003021083737,0.4330589223314044,0.34392152426448735,0.3140412934131614,0.31866390804121675,1.62608302617634,0.28084288654172707,0,0.033398054550740526,0.17791838839184493
B7_DLinear,22,2530,0.3275615344193556,0.17820278460323555,0.4221407165901384,0.3364104993142951,0.3276789616321941,0.32236914032244807,1.8523648247556015,0.27519707146422695,0,0.034882109093649145,0.13176701264455914
